host_ic_metodo,host_n,host_media,host_mediana,host_desvio,host_iqr,host_ic95_lo,host_ic95_hi,kvm_ic_metodo,kvm_n,kvm_media,kvm_mediana,kvm_desvio,kvm_iqr,kvm_ic95_lo,kvm_ic95_hi,qemu_ic_metodo,qemu_n,qemu_media,qemu_mediana,qemu_desvio,qemu_iqr,qemu_ic95_lo,qemu_ic95_hi,host_shapiro_p,kvm_shapiro_p,qemu_shapiro_p,levene_p,teste_global,teste_global_estat,teste_global_p,posthoc_dunn,effect_size_epsilon2,metrica,p_fdr_corrigido
simples,15,314.29,314.08,1.5081635000414062,2.1399999999999864,313.52600000000007,315.00733333333335,estratificado_por_vm,15,3795.540666666667,3305.26,1077.5980872720502,1245.9899999999998,2609.300016666668,4619.995333333334,estratificado_por_vm,15.0,569.42,584.15,102.57136679265946,206.40499999999997,505.25689999999986,632.3915833333333,0.7956446048553625,0.030258430749819095,0.007200711460043708,2.7413643324443833e-05,Kruskal-Wallis,39.13043478260869,3.1837140185131715e-09,"{'host': {'host': 1.0, 'kvm': 1.1892479123669963e-09, 'qemu': 0.00528510576430141}, 'kvm': {'host': 1.1892479123669963e-09, 'kvm': 1.0, 'qemu': 0.00528510576430141}, 'qemu': {'host': 0.00528510576430141, 'kvm': 0.00528510576430141, 'qemu': 1.0}}",0.8893280632411066,cache_bogo_ops_s_cpu,1.5918570092565855e-08
simples,15,4989.538,4986.37,25.34462698764493,35.910000000000764,4976.677766666666,5001.551783333332,estratificado_por_vm,15,21161.16333333333,21870.95,7713.160869901583,11754.734999999997,14508.41503333333,29609.896949999995,estratificado_por_vm,15.0,7308.034666666667,6727.33,1433.3883132926019,2741.9699999999993,6250.783016666666,8267.4976,0.6636672765800854,0.2511762032584777,0.012984927092041682,8.347803603493949e-10,Kruskal-Wallis,39.13043478260869,3.1837140185131715e-09,"{'host': {'host': 1.0, 'kvm': 1.1892479123669963e-09, 'qemu': 0.00528510576430141}, 'kvm': {'host': 1.1892479123669963e-09, 'kvm': 1.0, 'qemu': 0.00528510576430141}, 'qemu': {'host': 0.00528510576430141, 'kvm': 0.00528510576430141, 'qemu': 1.0}}",0.8893280632411066,cache_bogo_ops_s_real,1.5918570092565855e-08
simples,15,335.51733333333334,335.76,0.7824820095299948,0.08499999999997954,335.28400000000005,335.9433500000001,estratificado_por_vm,15,334.99133333333333,335.41,1.1297715740466365,0.6100000000000136,334.4846499999999,335.98069999999996,estratificado_por_vm,15.0,21.946,20.23,5.291824962011822,6.16,18.9545,24.560033333333337,3.86562170955709e-07,5.044183995607701e-06,0.006082106627798192,0.0006541608560294314,Kruskal-Wallis,35.845105148658476,1.6456380306940293e-08,"{'host': {'host': 1.0, 'kvm': 0.03280228658573894, 'qemu': 7.308783170965678e-09}, 'kvm': {'host': 0.03280228658573894, 'kvm': 1.0, 'qemu': 0.0018725931224485377}, 'qemu': {'host': 7.308783170965678e-09, 'kvm': 0.0018725931224485377, 'qemu': 1.0}}",0.814661480651329,cpu_bogo_ops_s_cpu,5.485460102313431e-08
simples,15,5368.274666666667,5372.12,12.534111665295312,1.3549999999995634,5364.531983333333,5375.1095000000005,estratificado_por_vm,15,5348.370666666667,5362.37,31.449986933148892,12.550000000001091,5333.982633333332,5368.081833333333,estratificado_por_vm,15.0,347.926,323.14,80.56270918625174,93.495,299.15583333333325,388.3904666666666,3.953442029168025e-07,0.00010127658472738836,0.01359560707309906,0.0027061683349308427,Kruskal-Wallis,36.39969255770034,1.2471169720959674e-08,"{'host': {'host': 1.0, 'kvm': 0.02378046459360449, 'qemu': 5.254722461679582e-09}, 'kvm': {'host': 0.02378046459360449, 'kvm': 1.0, 'qemu': 0.002303449474488837}, 'qemu': {'host': 5.254722461679582e-09, 'kvm': 0.002303449474488837, 'qemu': 1.0}}",0.827265739947735,cpu_bogo_ops_s_real,4.9884678883838696e-08
simples,15,1845.8,1607.0,779.780756733217,1037.0,1451.7983333333332,2203.6899999999996,estratificado_por_vm,15,1995.6666666666667,2160.0,781.5943107947157,1181.5,1408.7966666666669,2675.4,estratificado_por_vm,15.0,1342.6666666666667,1444.0,285.89300362864697,339.0,1127.6666666666667,1524.2,0.08571408536793401,0.14711998349012795,0.12554052864860493,0.02050109775697946,Kruskal-Wallis,6.996714975845407,0.030247023745547455,"{'host': {'host': 1.0, 'kvm': 1.0, 'qemu': 0.18750130988055452}, 'kvm': {'host': 1.0, 'kvm': 1.0, 'qemu': 0.0316031036580524}, 'qemu': {'host': 0.18750130988055452, 'kvm': 0.0316031036580524, 'qemu': 1.0}}",0.159016249451032,disk_iops_qd1,0.040329364994063276
simples,15,39180.0,40600.0,5024.681937339773,3000.0,37286.5,41946.83333333333,estratificado_por_vm,15,30120.0,30100.0,6913.878382334642,11750.0,22186.666666666664,37213.666666666664,estratificado_por_vm,15.0,6984.133333333333,6886.0,360.4163993943408,476.0,6807.985000000001,7156.001666666667,2.820411588372649e-05,0.15592607612619513,0.44729348186750373,0.00026781513319232357,Kruskal-Wallis,34.73929332191404,2.8606076949004378e-08,"{'host': {'host': 1.0, 'kvm': 0.06077364767426953, 'qemu': 1.4527380886112768e-08}, 'kvm': {'host': 0.06077364767426953, 'kvm': 1.0, 'qemu': 0.0012421612768271446}, 'qemu': {'host': 1.4527380886112768e-08, 'kvm': 0.0012421612768271446, 'qemu': 1.0}}",0.7895293936798645,disk_iops_randread,7.151519237251094e-08
simples,15,16762.866666666665,17500.0,2189.477526282295,1050.0,15912.399999999998,17970.466666666664,estratificado_por_vm,15,12926.6,12100.0,2948.41458123805,4800.0,9499.866666666667,15820.451666666668,estratificado_por_vm,15.0,3001.5333333333333,2958.0,155.2651495560632,205.0,2925.465,3075.6016666666665,5.0886421555797614e-05,0.14558199777527547,0.4128876115139823,0.0008572952164540431,Kruskal-Wallis,35.14046740467405,2.3406930052536183e-08,"{'host': {'host': 1.0, 'kvm': 0.048493087019534524, 'qemu': 1.1255144945382065e-08}, 'kvm': {'host': 0.048493087019534524, 'kvm': 1.0, 'qemu': 0.0014512267218804362}, 'qemu': {'host': 1.1255144945382065e-08, 'kvm': 0.0014512267218804362, 'qemu': 1.0}}",0.7986469864698648,disk_iops_randwrite,6.687694300724624e-08
simples,15,619.8073333333334,612.13,237.43024929038683,376.7949999999999,503.1804000000001,734.0088500000002,estratificado_por_vm,15,612.106,445.18,379.2700702439584,330.43499999999995,270.1719833333335,847.2266333333332,estratificado_por_vm,15.0,604.9639999999999,533.34,150.56110396020046,183.74499999999995,505.8442666666667,706.1789666666665,0.2853355791053356,0.0008913347735205014,0.472534180503931,0.3007280979985034,Kruskal-Wallis,1.5234782608695525,0.4668538009295681,,0.034624505928853466,disk_lat_avg_usec,0.49142505361007166
simples,15,511.73333333333335,513.0,4.182730937466345,2.0,510.1333333333333,514.1333333333334,estratificado_por_vm,15,494.2,496.0,15.166692830955979,19.5,483.59999999999997,508.06666666666666,estratificado_por_vm,15.0,499.8666666666667,509.0,12.777584539601634,24.0,489.6666666666667,515.0666666666666,2.3657174186254102e-05,0.023154260711602162,0.000314420485141138,0.021417634002708498,Kruskal-Wallis,16.523416711016534,0.0002582174869401591,"{'host': {'host': 1.0, 'kvm': 0.0007364638614517605, 'qemu': 0.0024015671373374243}, 'kvm': {'host': 0.0007364638614517605, 'kvm': 1.0, 'qemu': 1.0}, 'qemu': {'host': 0.0024015671373374243, 'kvm': 1.0, 'qemu': 1.0}}",0.3755321979776485,disk_seqread_MiBs,0.00039725767221562933
simples,15,447.46666666666664,449.0,19.569899140796622,21.5,438.13333333333327,457.33333333333326,estratificado_por_vm,15,439.8666666666667,437.0,11.262242016494552,17.0,426.73333333333335,450.66833333333335,estratificado_por_vm,15.0,424.8,426.0,13.25680418286614,16.5,414.46500000000003,434.06666666666666,0.47223197634759534,0.22175292464937824,0.4565332070340436,0.1397779476999622,ANOVA,8.735996888197377,0.0006724695656164605,"{'host': {'host': 1.0, 'kvm': 0.7707922164245868, 'qemu': 0.0009447031392920568}, 'kvm': {'host': 0.7707922164245868, 'kvm': 1.0, 'qemu': 0.04064195715281168}, 'qemu': {'host': 0.0009447031392920568, 'kvm': 0.04064195715281168, 'qemu': 1.0}}",,disk_seqwrite_MiBs,0.0009606708080235151
